frame,e_y,e_y_dot,e_phi,e_phi_dot,timestamp
192,-0.973672,0.641432,0.396713,-0.005061,1620812674446409216
193,-0.979215,0.685611,0.394444,-0.010297,1620812674475409056
194,-0.975458,0.611322,0.393572,-0.010297,1620812674485690848
195,-0.960586,0.626847,0.390605,-0.014661,1620812674505140800
196,-0.960620,0.564738,0.389557,-0.016755,1620812674529128160
197,-1.003387,0.542066,0.386939,-0.025133,1620812674547712704
198,-0.999687,0.486952,0.386067,-0.029322,1620812674572622528
199,-0.997186,0.523788,0.382576,-0.034907,1620812674586884544
200,-1.002070,0.499490,0.381354,-0.041364,1620812674605356736
201,-0.991404,0.492426,0.377166,-0.042586,1620812674629399200
202,-0.987904,0.498377,0.375769,-0.044680,1620812674647315008
203,-1.009190,0.506818,0.370184,-0.062308,1620812674666564512
204,-1.005669,0.508858,0.368788,-0.065624,1620812674687299808
205,-1.012365,0.528955,0.364250,-0.069639,1620812674709618368
206,-1.036352,0.536280,0.361458,-0.062134,1620812674728077632
207,-1.032862,0.505252,0.359712,-0.064228,1620812674746934976
208,-1.022597,0.495372,0.354476,-0.065101,1620812674767595008
209,-1.027819,0.497386,0.352731,-0.068417,1620812674785965888
210,-1.023315,0.504123,0.346971,-0.071209,1620812674806357696
211,-1.138522,0.491969,0.345575,-0.078365,1620812674828096320
212,-1.128743,0.481371,0.339816,-0.083776,1620812674846440032
213,-1.125556,0.492507,0.337896,-0.082903,1620812674872639936
214,-1.113112,0.488681,0.332311,-0.083950,1620812674890855872
215,-1.110085,0.512875,0.330565,-0.084125,1620812674908375040
216,-1.131460,0.487310,0.323933,-0.089535,1620812674928099616
217,-1.128376,0.465172,0.321839,-0.088837,1620812674947062304
218,-1.119364,0.454134,0.315730,-0.088663,1620812674970095968
219,-1.116438,0.451677,0.313810,-0.087616,1620812674989249472
220,-1.113731,0.459243,0.307702,-0.092677,1620812675008833120
221,-1.110991,0.422009,0.305607,-0.088663,1620812675026994432
222,-1.133420,0.409886,0.300720,-0.093550,1620812675047793728
223,-1.127771,0.407699,0.296531,-0.094771,1620812675069608128
224,-1.122283,0.399367,0.292168,-0.095644,1620812675087791232
225,-1.111751,0.394064,0.285536,-0.104196,1620812675107280000
226,-1.109223,0.385586,0.283267,-0.105418,1620812675130195680
227,-1.124550,0.378133,0.277158,-0.102800,1620812675146666496
228,-1.121971,0.389109,0.274889,-0.105069,1620812675171844544
229,-1.114496,0.368004,0.268257,-0.112399,1620812675186853120
230,-1.112089,0.351846,0.265988,-0.110305,1620812675207460416
231,-1.107408,0.348969,0.261450,-0.110479,1620812675228949216
232,-1.121166,0.342568,0.254120,-0.121999,1620812675248308000
233,-1.118795,0.337045,0.251676,-0.123220,1620812675267598112
234,-1.105305,0.313239,0.244172,-0.127235,1620812675287575328
235,-1.100954,0.329526,0.241554,-0.127409,1620812675306995872
236,-1.094681,0.296616,0.233874,-0.128107,1620812675327940832
237,-1.092686,0.300031,0.231431,-0.135263,1620812675347970720
238,-1.104436,0.285018,0.222704,-0.141197,1620812675367841632
239,-1.102368,0.270500,0.219737,-0.149575,1620812675387973248
240,-1.096527,0.266189,0.212232,-0.147655,1620812675408398016
241,-1.094684,0.218209,0.210312,-0.153938,1620812675430056480
242,-1.091110,0.224913,0.206647,-0.158127,1620812675446573952
243,-1.068277,0.216734,0.200713,-0.166679,1620812675467310176
244,-1.066657,0.214757,0.198793,-0.179943,1620812675490033280
245,-1.078097,0.187249,0.190590,-0.189543,1620812675506403904
246,-1.067525,0.200381,0.188496,-0.191114,1620812675530364704
247,-1.053830,0.193682,0.181863,-0.200015,1620812675546256544
248,-1.050837,0.194982,0.179594,-0.198968,1620812675568049024
249,-1.046629,0.174868,0.173137,-0.202284,1620812675590268160
250,-1.045407,0.163541,0.168599,-0.197571,1620812675606272032
251,-1.054739,0.174238,0.162839,-0.195651,1620812675631586304
