frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
74,0.122963,0.025149,0.074526,-0.002269,0,4.976487,0.017301,0.000048,0.069517,-0.000010,0.000000,0.113130,0.740000,-0.030000,1621677223918639134
75,0.124610,0.023285,0.075049,-0.008029,0,5.016093,0.017533,0.000044,0.070006,-0.000035,0.000000,0.113130,0.710000,-0.030000,1621677223935937680
76,0.124606,0.024913,0.075224,0.004014,0,5.028605,0.017532,0.000047,0.070169,0.000018,0.000000,0.113130,0.730000,-0.030000,1621677223953985414
77,0.126280,0.020868,0.075922,-0.001222,0,5.077654,0.017768,0.000040,0.070820,-0.000005,0.000000,0.113130,0.670000,-0.030000,1621677223973981614
78,0.127127,0.024789,0.076096,0.000873,0,5.094762,0.017887,0.000047,0.070983,0.000004,0.000000,0.113130,0.720000,-0.030000,1621677223993683003
79,0.128868,0.017345,0.077493,0.006632,0,5.184063,0.018132,0.000033,0.072285,0.000029,0.000000,0.113130,0.740000,-0.040000,1621677224014472358
80,0.129770,0.015639,0.078365,-0.004887,0,5.234882,0.018259,0.000030,0.073099,-0.000022,0.000000,0.113130,0.710000,-0.040000,1621677224035311792
81,0.122692,0.017374,0.080809,0.002618,0,5.310500,0.017263,0.000033,0.075378,0.000012,0.000000,0.032169,0.710000,-0.040000,1621677224054443134
82,0.123591,0.016566,0.080809,-0.010647,0,5.314312,0.017389,0.000031,0.075378,-0.000047,0.000000,0.032169,0.700000,-0.040000,1621677224079100100
83,0.116433,0.022895,0.080634,-0.007854,0,5.248677,0.016382,0.000043,0.075216,-0.000035,0.000000,0.032169,0.780000,-0.040000,1621677224094921861
84,0.117330,0.017586,0.080460,0.004363,0,5.249077,0.016508,0.000033,0.075053,0.000019,0.000000,0.032169,0.840000,-0.050000,1621677224115713195
85,0.119144,0.017651,0.081507,0.001222,0,5.318886,0.016764,0.000034,0.076030,0.000005,0.000000,0.032169,0.830000,-0.050000,1621677224135460658
86,0.120997,0.022494,0.082380,0.013963,0,5.384201,0.017024,0.000043,0.076844,0.000061,0.000000,0.032169,0.880000,-0.050000,1621677224154292869
87,0.103742,0.023416,0.083427,-0.009599,0,5.295228,0.014596,0.000044,0.077820,-0.000042,0.000000,0.032169,0.880000,-0.050000,1621677224175680993
88,0.106486,0.030226,0.085347,-0.006109,0,5.421579,0.014983,0.000057,0.079611,-0.000027,0.000000,0.032169,0.940000,-0.050000,1621677224195019778
89,0.106472,0.029161,0.086045,0.012392,0,5.463325,0.014981,0.000055,0.080263,0.000055,0.000000,0.032169,0.920000,-0.050000,1621677224215529167
90,0.099436,0.043069,0.087441,0.011694,0,5.482570,0.013991,0.000082,0.081565,0.000051,0.000000,0.032169,0.950000,-0.040000,1621677224235846409
91,0.100415,0.039168,0.087965,-0.004363,0,5.513975,0.014128,0.000074,0.082053,-0.000019,0.000000,0.032169,0.900000,-0.040000,1621677224255720443
92,0.102452,0.043015,0.090234,-0.007330,0,5.651328,0.014415,0.000082,0.084170,-0.000032,0.000000,0.032169,0.920000,-0.040000,1621677224275201802
93,0.103496,0.046551,0.091106,0.000698,0,5.708791,0.014562,0.000088,0.084984,0.000003,0.000000,0.032169,0.950000,-0.040000,1621677224295196167
94,0.086314,0.055190,0.094248,-0.009948,0,5.736445,0.012144,0.000105,0.087914,-0.000044,0.000000,0.032169,1.010000,-0.040000,1621677224315782202
95,0.087330,0.043860,0.095295,0.002443,0,5.802490,0.012287,0.000083,0.088891,0.000011,0.000000,0.032169,0.880000,-0.040000,1621677224341249385
96,0.080478,0.046778,0.098611,0.000175,0,5.924227,0.011323,0.000089,0.091984,0.000001,0.000000,0.032169,0.880000,-0.040000,1621677224358558610
97,0.080464,0.041289,0.100356,-0.004538,0,6.015608,0.011321,0.000078,0.093612,-0.000020,0.000000,0.032169,0.810000,-0.040000,1621677224375306503
98,0.082769,0.050960,0.105767,-0.008727,0,6.323358,0.011646,0.000097,0.098659,-0.000038,0.000000,0.032169,0.860000,-0.040000,1621677224395677031
99,0.083987,0.056761,0.107512,-0.002967,0,6.428542,0.011817,0.000108,0.100287,-0.000013,0.000000,0.032169,0.900000,-0.040000,1621677224417764451
100,0.075542,0.062538,0.109083,0.010996,0,6.448564,0.010629,0.000119,0.101753,0.000048,0.000000,0.032169,0.940000,-0.040000,1621677224439086553
101,0.067800,0.058646,0.109607,0.000000,0,6.410942,0.009540,0.000111,0.102241,0.000000,0.000000,0.032169,0.900000,-0.040000,1621677224461497906
102,0.070216,0.055162,0.110654,0.002094,0,6.486531,0.009879,0.000105,0.103218,0.000009,0.000000,0.032169,0.860000,-0.040000,1621677224478345264
103,0.071444,0.054204,0.110828,0.010647,0,6.507810,0.010052,0.000103,0.103381,0.000047,0.000000,0.032169,0.850000,-0.040000,1621677224499837270
