frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
55,-0.126608,0.036677,0.015882,0.000524,0,0.163004,-0.017649,0.000235,0.020253,0.000006,0.000000,0.000000,1.050000,0.020000,1621685594714617219
56,-0.126844,0.036570,0.016406,-0.006981,0,0.194393,-0.017682,0.000234,0.020921,-0.000080,0.000000,0.000000,1.010000,0.020000,1621685594735280350
57,-0.125103,0.038302,0.018675,0.001745,0,0.380459,-0.017439,0.000245,0.023814,0.000020,0.000000,0.000000,0.980000,0.020000,1621685594754643821
58,-0.125386,0.035420,0.016232,-0.000349,0,0.197229,-0.017479,0.000227,0.020698,-0.000004,0.000000,0.000000,0.950000,0.020000,1621685594774893784
59,-0.125781,0.034560,0.015010,0.008203,0,0.110129,-0.017534,0.000221,0.019141,0.000094,0.000000,0.000000,0.970000,0.020000,1621685594794578906
60,-0.126075,0.030943,0.011519,-0.000175,0,-0.154105,-0.017575,0.000198,0.014689,-0.000002,0.000000,0.000000,0.950000,0.020000,1621685594817896456
61,-0.126325,0.030753,0.010647,0.001920,0,-0.218552,-0.017610,0.000197,0.013576,0.000022,0.000000,0.000000,1.010000,0.020000,1621685594837317845
62,-0.125373,0.029257,0.009076,0.000873,0,-0.326952,-0.017477,0.000187,0.011573,0.000010,0.000000,0.000000,1.020000,0.020000,1621685594856092252
63,-0.125591,0.029076,0.008727,0.000873,0,-0.354263,-0.017507,0.000186,0.011128,0.000010,0.000000,0.000000,1.040000,0.020000,1621685594873341217
64,-0.125794,0.028461,0.008378,0.001920,0,-0.380920,-0.017536,0.000182,0.010683,0.000022,0.000000,0.000000,1.010000,0.020000,1621685594894536805
65,-0.125889,0.028449,0.008203,-0.004363,0,-0.398578,-0.017549,0.000182,0.010461,-0.000050,0.000000,0.000000,1.030000,0.020000,1621685594916165881
66,-0.126220,0.019065,0.009250,-0.000175,0,-0.325391,-0.017595,0.000122,0.011796,-0.000002,0.000000,0.000000,0.980000,0.010000,1621685594936274889
67,-0.126235,0.019695,0.009599,-0.017279,0,-0.311047,-0.017597,0.000126,0.012241,-0.000199,0.000000,0.000000,1.010000,0.010000,1621685594955687926
68,-0.125583,0.023561,0.012217,0.009948,0,-0.095200,-0.017506,0.000151,0.015580,0.000114,0.000000,0.000000,1.110000,0.010000,1621685594977916145
69,-0.125599,0.022210,0.011519,-0.016755,0,-0.164429,-0.017509,0.000142,0.014689,-0.000193,0.000000,0.000000,1.060000,0.010000,1621685594994650443
70,-0.125878,0.019989,0.010297,-0.005061,0,-0.249032,-0.017547,0.000128,0.013131,-0.000058,0.000000,0.000000,0.970000,0.010000,1621685595014450182
71,-0.125878,0.021484,0.012217,0.008727,0,-0.099126,-0.017547,0.000137,0.015580,0.000100,0.000000,0.000000,0.940000,0.010000,1621685595054305521
72,-0.126108,0.021484,0.012217,0.008727,0,-0.100957,-0.017579,0.000137,0.015580,0.000100,0.000000,0.000000,0.940000,0.010000,1621685595057904735
73,-0.117250,0.022741,0.012741,-0.002967,0,0.000801,-0.016345,0.000146,0.016247,-0.000034,0.000000,0.000000,1.000000,0.010000,1621685595075855589
74,-0.116426,0.029604,0.018850,-0.001396,0,0.457250,-0.016230,0.000189,0.024037,-0.000016,0.000000,0.000000,1.040000,0.010000,1621685595093958404
75,-0.116668,0.030906,0.019722,-0.005760,0,0.516682,-0.016264,0.000198,0.025150,-0.000066,0.000000,0.000000,1.060000,0.010000,1621685595113563111
76,-0.116940,0.031694,0.019722,0.001571,0,0.519629,-0.016301,0.000203,0.025150,0.000018,0.000000,0.000000,1.100000,0.010000,1621685595133887468
77,-0.117218,0.031687,0.019897,0.000524,0,0.529472,-0.016340,0.000203,0.025372,0.000006,0.000000,0.000000,1.090000,0.010000,1621685595158074420
78,-0.117465,0.031698,0.019373,-0.003840,0,0.486368,-0.016375,0.000203,0.024705,-0.000044,0.000000,0.000000,1.120000,0.010000,1621685595177797266
79,-0.116557,0.033469,0.020769,0.006458,0,0.603073,-0.016248,0.000214,0.026485,0.000074,0.000000,0.000000,1.130000,0.010000,1621685595194481100
80,-0.116683,0.032448,0.020595,0.005411,0,0.588246,-0.016266,0.000208,0.026263,0.000062,0.000000,0.000000,1.090000,0.010000,1621685595215550771
81,-0.117195,0.032571,0.021293,0.008552,0,0.637280,-0.016337,0.000208,0.027153,0.000098,0.000000,0.000000,1.060000,0.010000,1621685595234624523
82,-0.117206,0.033806,0.021642,-0.006283,0,0.653373,-0.016339,0.000216,0.027598,-0.000072,0.000000,0.000000,1.100000,0.010000,1621685595256245211
83,-0.116390,0.037262,0.024784,0.016930,0,0.905992,-0.016225,0.000238,0.031604,0.000195,0.000000,0.000000,1.100000,0.010000,1621685595274470614
84,-0.116532,0.040269,0.024609,-0.003142,0,0.879983,-0.016245,0.000258,0.031382,-0.000036,0.000000,0.000000,1.230000,0.010000,1621685595293677673
85,-0.117076,0.041500,0.024609,-0.004014,0,0.875515,-0.016320,0.000266,0.031382,-0.000046,0.000000,0.000000,1.280000,0.010000,1621685595314049644
86,-0.117206,0.041765,0.024435,-0.001920,0,0.863198,-0.016339,0.000267,0.031159,-0.000022,0.000000,0.000000,1.300000,0.010000,1621685595334622088
87,-0.117325,0.040082,0.024260,0.002443,0,0.851754,-0.016355,0.000257,0.030936,0.000028,0.000000,0.000000,1.240000,0.010000,1621685595377769069
88,-0.116540,0.043898,0.028972,-0.018151,0,1.190158,-0.016246,0.000281,0.036946,-0.000209,0.000000,0.000000,1.170000,0.010000,1621685595387265738
89,-0.116943,0.043898,0.028972,-0.018151,0,1.186938,-0.016302,0.000281,0.036946,-0.000209,0.000000,0.000000,1.170000,0.010000,1621685595397400398
90,-0.117091,0.043720,0.029322,-0.004363,0,1.220287,-0.016322,0.000280,0.037391,-0.000050,0.000000,0.000000,1.150000,0.010000,1621685595414546517
91,-0.117389,0.041447,0.026878,-0.013963,0,1.032215,-0.016364,0.000265,0.034275,-0.000161,0.000000,0.000000,1.170000,0.010000,1621685595434864794
92,-0.116372,0.046725,0.029147,0.005585,0,1.220931,-0.016222,0.000299,0.037168,0.000064,0.000000,0.000000,1.260000,0.010000,1621685595458686577
93,-0.107707,0.047385,0.029671,0.000349,0,1.325188,-0.015014,0.000303,0.037836,0.000004,0.000000,0.000000,1.260000,0.010000,1621685595474407186
94,-0.107707,0.047385,0.029671,0.000349,0,1.325188,-0.015014,0.000303,0.037836,0.000004,0.000000,0.000000,1.260000,0.010000,1621685595499511957
95,-0.108222,0.036757,0.031416,-0.002967,0,1.442515,-0.015086,0.000235,0.040062,-0.000034,0.000000,0.000000,1.170000,0.000000,1621685595514804839
96,-0.108222,0.036757,0.031416,-0.002967,0,1.442515,-0.015086,0.000235,0.040062,-0.000034,0.000000,0.000000,1.170000,0.000000,1621685595538165073
97,-0.098426,0.039336,0.033336,0.001920,0,1.665188,-0.013721,0.000252,0.042510,0.000022,0.000000,0.000000,1.180000,0.000000,1621685595566575053
98,-0.098835,0.045901,0.032638,0.005061,0,1.615392,-0.013778,0.000294,0.041620,0.000058,0.000000,0.000000,1.100000,0.010000,1621685595583043087
99,-0.098960,0.047778,0.032289,-0.002269,0,1.584750,-0.013795,0.000306,0.041174,-0.000026,0.000000,0.000000,1.170000,0.010000,1621685595602376669
100,-0.108257,0.047525,0.030020,-0.003491,0,1.343817,-0.015091,0.000304,0.038281,-0.000040,0.000000,0.000000,1.250000,0.010000,1621685595630166802
101,-0.108318,0.047525,0.030020,-0.003491,0,1.343329,-0.015100,0.000304,0.038281,-0.000040,0.000000,0.000000,1.250000,0.010000,1621685595640925949
102,-0.107753,0.051893,0.032987,-0.008727,0,1.562780,-0.015021,0.000332,0.042065,-0.000100,0.000000,0.000000,1.270000,0.010000,1621685595655622535
103,-0.107891,0.053176,0.032463,-0.008901,0,1.523775,-0.015040,0.000340,0.041397,-0.000102,0.000000,0.000000,1.330000,0.010000,1621685595674632898
104,-0.107935,0.052412,0.031416,-0.007854,0,1.447326,-0.015046,0.000335,0.040062,-0.000090,0.000000,0.000000,1.350000,0.010000,1621685595694095434
105,-0.108020,0.052014,0.030892,-0.007854,0,1.408239,-0.015058,0.000333,0.039394,-0.000090,0.000000,0.000000,1.360000,0.010000,1621685595715490180
106,-0.116770,0.054235,0.032289,0.003316,0,1.448549,-0.016278,0.000347,0.041174,0.000038,0.000000,0.000000,1.370000,0.010000,1621685595734527582
107,-0.116813,0.050158,0.030194,0.004538,0,1.294491,-0.016284,0.000321,0.038504,0.000052,0.000000,0.000000,1.330000,0.010000,1621685595754196862
108,-0.116748,0.046699,0.028449,0.010821,0,1.170357,-0.016275,0.000299,0.036278,0.000124,0.000000,0.000000,1.290000,0.010000,1621685595774319019
109,-0.027159,0.052069,0.032114,0.006283,0,2.152685,-0.003786,0.000333,0.040952,0.000072,0.000000,0.000000,1.310000,0.010000,1621685595795190202
110,-0.027077,0.038090,0.030718,0.012043,0,2.049991,-0.003775,0.000244,0.039171,0.000138,0.000000,0.000000,1.240000,0.000000,1621685595827777453
111,-0.026890,0.038090,0.030718,0.012043,0,2.051481,-0.003749,0.000244,0.039171,0.000138,0.000000,0.000000,1.240000,0.000000,1621685595835168192
112,-0.026816,0.034924,0.030369,0.011868,0,2.025291,-0.003738,0.000224,0.038726,0.000136,0.000000,0.000000,1.150000,0.000000,1621685595855267247
113,-0.027259,0.034549,0.032289,0.016930,0,2.165223,-0.003800,0.000221,0.041174,0.000195,0.000000,0.000000,1.070000,0.000000,1621685595874821107
114,-0.027189,0.034362,0.032114,0.009076,0,2.147787,-0.003790,0.000220,0.040952,0.000104,0.000000,0.000000,1.070000,0.000000,1621685595894417686
115,-0.026876,0.039286,0.031940,0.012217,0,2.141409,-0.003747,0.000251,0.040729,0.000140,0.000000,0.000000,1.230000,0.000000,1621685595915913708
116,-0.026793,0.038753,0.031765,0.013788,0,2.130164,-0.003735,0.000248,0.040507,0.000159,0.000000,0.000000,1.220000,0.000000,1621685595934382685
117,-0.027313,0.047702,0.031590,0.005061,0,2.110786,-0.003807,0.000305,0.040284,0.000058,0.000000,0.000000,1.510000,0.000000,1621685595954436493
118,-0.027119,0.038433,0.032289,0.009250,0,2.162706,-0.003780,0.000246,0.041174,0.000106,0.000000,0.000000,1.500000,-0.010000,1621685595976437006
119,-0.026832,0.037988,0.034034,0.005061,0,2.289597,-0.003740,0.000243,0.043400,0.000058,0.000000,0.000000,1.410000,-0.010000,1621685595997835080
120,-0.026793,0.038278,0.034732,0.011170,0,2.345045,-0.003735,0.000245,0.044290,0.000128,0.000000,0.000000,1.390000,-0.010000,1621685596015146054
121,-0.027104,0.041773,0.035954,0.021642,0,2.440007,-0.003778,0.000267,0.045848,0.000249,0.000000,0.000000,1.440000,-0.010000,1621685596035560229
122,-0.027050,0.040704,0.036477,0.020769,0,2.477730,-0.003771,0.000261,0.046516,0.000239,0.000000,0.000000,1.390000,-0.010000,1621685596055890567
123,-0.026982,0.043651,0.037001,0.016057,0,2.514505,-0.003761,0.000279,0.047184,0.000185,0.000000,0.000000,1.450000,-0.010000,1621685596074756421
124,-0.026893,0.044531,0.037350,0.013090,0,2.539090,-0.003749,0.000285,0.047629,0.000151,0.000000,0.000000,1.460000,-0.010000,1621685596094719862
125,-0.027021,0.041522,0.035779,0.009599,0,2.419894,-0.003767,0.000266,0.045626,0.000110,0.000000,0.000000,1.440000,-0.010000,1621685596117798249
126,-0.027003,0.039491,0.035605,0.007505,0,2.405157,-0.003764,0.000253,0.045403,0.000086,0.000000,0.000000,1.390000,-0.010000,1621685596149826158
127,-0.017921,0.042595,0.035779,0.009076,0,2.492627,-0.002498,0.000273,0.045626,0.000104,0.000000,0.000000,1.470000,-0.010000,1621685596169329202
128,-0.017907,0.042595,0.035779,0.009076,0,2.492735,-0.002496,0.000273,0.045626,0.000104,0.000000,0.000000,1.470000,-0.010000,1621685596178279940
129,-0.018018,0.045392,0.037176,0.013265,0,2.597652,-0.002512,0.000291,0.047406,0.000153,0.000000,0.000000,1.490000,-0.010000,1621685596193672208
130,-0.017989,0.044287,0.037699,0.009250,0,2.633090,-0.002508,0.000283,0.048074,0.000106,0.000000,0.000000,1.440000,-0.010000,1621685596217244462
131,-0.017961,0.045278,0.037350,0.012566,0,2.610352,-0.002504,0.000290,0.047629,0.000145,0.000000,0.000000,1.480000,-0.010000,1621685596235674814
132,-0.017893,0.043987,0.036477,0.010472,0,2.545282,-0.002494,0.000282,0.046516,0.000120,0.000000,0.000000,1.480000,-0.010000,1621685596254932172
133,-0.018047,0.042182,0.034558,0.015882,0,2.406687,-0.002516,0.000270,0.044068,0.000183,0.000000,0.000000,1.510000,-0.010000,1621685596274161852
134,-0.017934,0.042276,0.033510,0.022689,0,2.335595,-0.002500,0.000271,0.042732,0.000261,0.000000,0.000000,1.560000,-0.010000,1621685596294369987
135,-0.026875,0.041732,0.033161,0.024260,0,2.239516,-0.003746,0.000267,0.042287,0.000279,0.000000,0.000000,1.560000,-0.010000,1621685596320047051
136,-0.027172,0.035448,0.029322,0.018675,0,1.950617,-0.003788,0.000227,0.037391,0.000215,0.000000,0.032169,1.550000,-0.010000,1621685596332472240
137,-0.027119,0.034380,0.028449,0.024435,0,1.890680,-0.003780,0.000220,0.036278,0.000281,0.000000,0.032169,1.560000,-0.010000,1621685596360663154
138,-0.026746,0.031113,0.026354,0.032114,0,1.744502,-0.003728,0.000199,0.033607,0.000369,0.000000,0.032169,1.560000,-0.010000,1621685596376783424
139,-0.026505,0.029511,0.025656,0.028100,0,1.692187,-0.003695,0.000189,0.032717,0.000323,0.000000,0.032169,1.540000,-0.010000,1621685596395687708
140,-0.027219,0.015748,0.023213,0.027925,0,1.502791,-0.003794,0.000101,0.029601,0.000321,0.000000,0.032169,1.540000,-0.020000,1621685596414060655
141,-0.027091,0.012695,0.022864,0.027053,0,1.476617,-0.003776,0.000081,0.029156,0.000311,0.000000,0.032169,1.430000,-0.020000,1621685596437149440
142,-0.026517,0.013427,0.021991,0.026878,0,1.417591,-0.003697,0.000086,0.028043,0.000309,0.000000,0.032169,1.520000,-0.020000,1621685596456414382
143,-0.027712,0.021154,0.020769,0.031590,0,1.324723,-0.003863,0.000135,0.026485,0.000363,0.000000,0.032169,1.500000,-0.010000,1621685596474986808
144,-0.036104,0.018931,0.019548,0.029671,0,1.166355,-0.005033,0.000121,0.024927,0.000341,0.000000,0.032169,1.480000,-0.010000,1621685596495407575
145,-0.035938,0.007262,0.019199,0.029845,0,1.138008,-0.005010,0.000046,0.024482,0.000343,0.000000,0.032169,1.420000,-0.020000,1621685596515650269
146,-0.035215,0.006864,0.018151,0.025482,0,1.064252,-0.004909,0.000044,0.023147,0.000293,0.000000,0.032169,1.480000,-0.020000,1621685596536551304
147,-0.036860,0.005730,0.015882,0.026529,0,0.885609,-0.005138,0.000037,0.020253,0.000305,0.000000,0.032169,1.620000,-0.020000,1621685596556916105
148,-0.035937,0.003866,0.015010,0.029496,0,0.830495,-0.005010,0.000025,0.019141,0.000339,0.000000,0.032169,1.590000,-0.020000,1621685596583586152
149,-0.035741,0.002846,0.014835,0.029496,0,0.818937,-0.004982,0.000018,0.018918,0.000339,0.000000,0.032169,1.540000,-0.020000,1621685596594950009
150,-0.036956,-0.011918,0.012217,0.032987,0,0.614833,-0.005152,-0.000076,0.015580,0.000379,0.000000,0.032169,1.480000,-0.030000,1621685596616620932
151,-0.036768,-0.011248,0.011868,0.033859,0,0.591657,-0.005125,-0.000072,0.015134,0.000389,0.000000,0.032169,1.580000,-0.030000,1621685596636101993
152,-0.044702,-0.012517,0.010996,0.027576,0,0.459921,-0.006231,-0.000080,0.014022,0.000317,0.000000,0.032169,1.590000,-0.030000,1621685596656349071
153,-0.044261,-0.012795,0.010821,0.025482,0,0.449211,-0.006170,-0.000082,0.013799,0.000293,0.000000,0.032169,1.590000,-0.030000,1621685596677823491
154,-0.054796,-0.014069,0.009774,0.014137,0,0.280607,-0.007639,-0.000090,0.012464,0.000163,0.000000,0.032169,1.630000,-0.030000,1621685596695920672
155,-0.054130,-0.014920,0.009425,0.014137,0,0.260116,-0.007546,-0.000095,0.012018,0.000163,0.000000,0.032169,1.600000,-0.030000,1621685596716244547
156,-0.053436,-0.015135,0.008901,0.019548,0,0.230891,-0.007449,-0.000097,0.011351,0.000225,0.000000,0.032169,1.670000,-0.030000,1621685596736531975
157,-0.055086,-0.020104,0.006109,0.034907,0,0.021971,-0.007679,-0.000129,0.007790,0.000401,0.000000,0.032169,1.620000,-0.030000,1621685596758925781
